<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BVSP,D,20000103,000000,17098.00,17408.00,16719.00,16930.00,000,0
^BVSP,D,20000104,000000,16908.00,16908.00,15851.00,15851.00,000,0
^BVSP,D,20000105,000000,15871.00,16302.00,15350.00,16245.00,000,0
^BVSP,D,20000106,000000,16237.00,16499.00,15977.00,16107.00,000,0
^BVSP,D,20000107,000000,16125.00,16449.00,16125.00,16309.00,000,0
^BVSP,D,20000110,000000,16325.00,17057.00,16325.00,17022.00,000,0
^BVSP,D,20000111,000000,17045.00,17197.00,16573.00,16573.00,000,0
^BVSP,D,20000112,000000,16574.00,16724.00,16331.00,16617.00,000,0
^BVSP,D,20000113,000000,16663.00,17715.00,16663.00,17298.00,000,0
^BVSP,D,20000114,000000,17306.00,17800.00,17306.00,17658.00,000,0
^BVSP,D,20000117,000000,17678.00,18099.00,17678.00,18053.00,000,0
^BVSP,D,20000118,000000,18062.00,18062.00,17625.00,17903.00,000,0
^BVSP,D,20000119,000000,17905.00,18075.00,17470.00,17470.00,000,0
^BVSP,D,20000120,000000,17487.00,17622.00,17029.00,17177.00,000,0
^BVSP,D,20000121,000000,17188.00,17372.00,16901.00,17034.00,000,0
^BVSP,D,20000124,000000,17049.00,17263.00,16972.00,16972.00,000,0
^BVSP,D,20000126,000000,16972.00,17105.00,16727.00,17105.00,000,0
^BVSP,D,20000127,000000,17114.00,17422.00,17081.00,17081.00,000,0
^BVSP,D,20000128,000000,17150.00,17252.00,16547.00,16734.00,000,0
^BVSP,D,20000131,000000,16744.00,16749.00,16167.00,16388.00,000,0
^BVSP,D,20000201,000000,16389.00,16675.00,16389.00,16522.00,000,0
^BVSP,D,20000202,000000,16546.00,16875.00,16546.00,16868.00,000,0
^BVSP,D,20000203,000000,16892.00,17457.00,16892.00,17457.00,000,0
^BVSP,D,20000204,000000,17471.00,17962.00,17471.00,17932.00,000,0
^BVSP,D,20000207,000000,17937.00,18126.00,17746.00,18126.00,000,0
^BVSP,D,20000208,000000,18249.00,18729.00,18249.00,18686.00,000,0
^BVSP,D,20000209,000000,18759.00,18886.00,18224.00,18361.00,000,0
^BVSP,D,20000210,000000,18367.00,18672.00,18155.00,18604.00,000,0
^BVSP,D,20000211,000000,18635.00,18775.00,18027.00,18083.00,000,0
^BVSP,D,20000214,000000,18083.00,18264.00,17746.00,17819.00,000,0
^BVSP,D,20000215,000000,17818.00,17932.00,17451.00,17921.00,000,0
^BVSP,D,20000216,000000,17921.00,18247.00,17743.00,18112.00,000,0
^BVSP,D,20000217,000000,18116.00,18297.00,17979.00,17979.00,000,0
^BVSP,D,20000218,000000,17979.00,18008.00,17489.00,17625.00,000,0
^BVSP,D,20000221,000000,17626.00,17887.00,17364.00,17700.00,000,0
^BVSP,D,20000222,000000,17698.00,17913.00,17466.00,17489.00,000,0
^BVSP,D,20000223,000000,17489.00,17855.00,17479.00,17833.00,000,0
^BVSP,D,20000224,000000,17846.00,18119.00,17706.00,17776.00,000,0
^BVSP,D,20000225,000000,17784.00,17988.00,17758.00,17787.00,000,0
^BVSP,D,20000228,000000,17787.00,17787.00,17383.00,17543.00,000,0
^BVSP,D,20000229,000000,17545.00,17818.00,17545.00,17660.00,000,0
^BVSP,D,20000301,000000,17668.00,17953.00,17655.00,17953.00,000,0
^BVSP,D,20000302,000000,17966.00,18154.00,17809.00,18016.00,000,0
^BVSP,D,20000303,000000,18016.00,18632.00,18016.00,18632.00,000,0
^BVSP,D,20000308,000000,18617.00,18617.00,18184.00,18283.00,000,0
^BVSP,D,20000309,000000,18285.00,18650.00,18285.00,18650.00,000,0
^BVSP,D,20000310,000000,18650.00,18720.00,18233.00,18280.00,000,0
^BVSP,D,20000313,000000,18279.00,18279.00,17506.00,17595.00,000,0
^BVSP,D,20000314,000000,17595.00,17941.00,17222.00,17222.00,000,0
^BVSP,D,20000315,000000,17229.00,17469.00,16922.00,17382.00,000,0
^BVSP,D,20000316,000000,17397.00,17661.00,17397.00,17642.00,000,0
^BVSP,D,20000317,000000,17654.00,17733.00,17470.00,17511.00,000,0
^BVSP,D,20000320,000000,17511.00,17733.00,17435.00,17526.00,000,0
